FECHA,VENTANILLA,ETOTAL,EPASADA,EREGULACION,EGNCAMISEA,EGNMALACAS,EGNAGUAYTIA,EDIESEL,ERESIDUAL,EBAGAZO,EBIOGAS,ESOLAR,EEOLICO,DNORTE,DCENTRO,DEMSUR,PRESIONV,TEMPV,DISPGNV
43526.9375,197.85926,6255.83551,1031.05672,3075.92541,1872.76933,0,0,101.88422,25.4,5.12159,9.5,0,134.17824,847.27289,3885.93276,1522.62986,4300.764,26.675,950
43526.95833,202.23235,6131.85534,1024.20782,3091.83161,1770.15301,0,0,88.04398,25.5,4.83352,9.5,0,117.7854,850.48474,3780.0631,1501.3075,4310.186,24.525,950
43526.97917,179.64094,5945.43341,1021.11811,3002.10762,1653.98076,0,0,86.97873,25.4,4.87387,9.5,0,141.47432,780.18323,3677.66095,1487.58923,4310.186,24.525,950
43527,177.98325,5766.06739,1042.07308,3038.01999,1530.38594,0,0,1.2,25.3,5,9.5,0,114.58838,767.89445,3505.14893,1493.02401,4332.092,23.21,1450
43527.02083,178.04443,5689.39909,1036.85292,3057.11269,1490.73034,0,0,1.2,25.3,4.69,9.5,0,64.01314,745.34969,3452.70292,1491.34648,4332.092,23.21,1450
43527.04167,178.74769,5544.67033,1024.00232,3046.72848,1407.14392,0,0,1.2,25.1,5.04,9.5,0,25.95561,767.70741,3305.82522,1471.1377,4375.551,23.05,1450
43527.0625,178.19775,5504.82362,1027.23795,3037.08892,1390.13236,0,0,0,22,5.21,9.5,0,13.65439,741.50037,3314.5719,1448.75135,4375.551,23.05,1450
43527.08333,178.81128,5396.44,1015.12313,2955.0277,1383.06465,0,0,0,20.7,5.35099,9.5,0,7.67353,746.07528,3219.03116,1431.33356,4428.785,22.9,1450
43527.10417,180.29443,5408.33489,1020.58062,2972.57552,1370.1659,0,0,0,21.5,5.4813,9.5,0,8.53155,711.08766,3263.45888,1433.78835,4428.785,22.9,1450
43527.125,179.37013,5404.50153,1029.41802,2981.59959,1342.38251,0,0,0,21.8,5.32645,9.5,0,14.47496,729.22906,3238.80462,1436.46785,4444.92,22.62,1450
43527.14583,179.98018,5335.10479,1027.33649,2964.77552,1261.91651,0,0,0,21.6,5.12579,9.5,0,44.85048,735.6093,3172.83854,1426.65695,4444.92,22.62,1450
43527.16667,178.71803,5362.91932,1024.14278,2969.19828,1294.75628,0,0,0,21.6,5.11863,9.5,0,38.60335,736.62017,3174.03979,1452.25936,4456.226,22.31,1450
